County,FIPS,median_income,Rank within 
Cumberland,34011,"76,482","1,869"
Atlantic,34001,"94,662",686
Salem,34033,"96,968",574
Hudson,34017,"99,378",485
Passaic,34031,"100,792",448
Essex,34013,"101,256",437
Cape May,34009,"106,504",318
Camden,34007,"107,664",296
Ocean,34029,"108,905",276
Warren,34041,"118,994",169
Union,34039,"120,310",155
Mercer,34021,"124,699",127
Burlington,34005,"127,277",112
Gloucester,34015,"127,695",107
Middlesex,34023,"130,331",88
Sussex,34037,"134,187",69
Bergen,34003,"150,475",33
Monmouth,34025,"155,779",22
Hunterdon,34019,"166,462",12
Somerset,34035,"167,353",10
Morris,34027,"168,431",9
